,Score Ratio,Norm,SS_POW,positive_words,negative_words,hq,pragmatic_actions
GIBRALTAR,-0.05689277899343545,0.8084977238239757,-0.04599768231821306,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
GREECE,-0.11429990069513406,3.014126984126984,-0.3445144149682382,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
GRENADA,-0.08294679399727149,0.2702307692307692,-0.022414775947108827,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
GUATEMALA,-0.29453015427769985,1.8970358814352575,-0.5587342708294587,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
GUINEA,-0.15359477124183007,0.7793103448275862,-0.11969799414018482,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
GUINEA-BISSAU,-0.02553626149131767,0.14926640926640927,-0.00381170605889707,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
GUYANA,-0.03742632612966601,0.407734693877551,-0.01526001162744076,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
HAITI,-0.2169257340241796,3.4072607260726073,-0.7391225340150596,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
HONG KONG,-0.082930200414651,0.3255868544600939,-0.027000983092751393,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
HONDURAS,-0.25358306188925084,1.6396024464831804,-0.41577540866031143,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
HUNGARY,-0.20952380952380953,0.707764705882353,-0.1482935574229692,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
ICELAND,-0.19811083123425693,1.540043057050592,-0.30509921016883895,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
INDIA,-0.1581676750216076,0.5166060606060606,-0.08171037950813233,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
INDONESIA,-0.15544472152950956,1.5409722222222222,-0.23953599796804284,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
IRAN,-0.15646203554119548,0.7022461538461539,-0.10987486268174475,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
IRAQ,-0.10595382746051032,1.6170124481327801,-0.17132865793095797,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
IRELAND,-0.10446066504460665,3.149865229110512,-0.3290370166337664,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
ISRAEL,-0.1216600790513834,3.1681333333333335,-0.3854353517786562,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
ITALY,-0.16238170347003156,2.3301,-0.3783656072555205,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
JAMAICA,-0.18171521035598706,1.5103494623655913,-0.27445347026481537,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
JAPAN,-0.0858294930875576,1.5748815165876777,-0.13517128224168432,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
JORDAN,-0.11203416149068322,3.7759316770186335,-0.42303333928089193,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
KAZAKHSTAN,-0.2382297551789077,0.8427927927927928,-0.20077832069357493,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
KENYA,-0.16503579952267303,2.322809667673716,-0.3833467506435262,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
KIRIBATI,0.10157068062827225,0.2947967479674797,0.029942706338058143,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SOUTH KOREA,-0.0980975029726516,0.6199612403100775,-0.0608166496142466,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
KUWAIT,-0.2019476002782286,2.16016713091922,-0.43624056828904256,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
KYRGYZSTAN,-0.149118843199277,0.7288256227758008,-0.10868163376232005,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
LAOS,-0.2930006086427267,0.9588376068376069,-0.2809400023929543,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
LATVIA,-0.29238810846128716,0.8296825396825397,-0.2425893084011346,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
LEBANON,-0.22674033149171272,1.8257110352673493,-0.4139623253445968,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
LESOTHO,0.03357636224098235,0.43427966101694915,0.014581531212196106,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
LIBERIA,-0.3765825242718447,1.0664030612244897,-0.4015887566871409,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
LIBYA,-0.17320872274143304,1.116952380952381,-0.19346589526776445,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
LIECHTENSTEIN,-0.34904109589041094,0.8369444444444445,-0.29212800608828005,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
LITHUANIA,-0.23834296724470136,1.1177261613691931,-0.2664021698677634,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
LUXEMBOURG,-0.20802343926076178,1.065817694369973,-0.22171506240781727,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MADAGASCAR,-0.313127147766323,1.1336720554272517,-0.3549834972183202,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MALAWI,-0.36791784702549574,0.9255020080321286,-0.3405087062129538,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MALAYSIA,-0.09171717171717171,2.9751181102362203,-0.2728694185954028,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MALDIVES,-0.2511727078891258,1.0735602094240837,-0.26964902488306414,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MALI,-0.18958333333333333,1.483357041251778,-0.2812197724039829,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MALTA,0.02261904761904762,1.1566852367688023,0.02616311845072291,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MARSHALL ISLANDS,-0.16197854588796187,1.994954721862872,-0.32313986495967145,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MAURITANIA,-0.013058963197467353,0.25948320413436693,-0.003388581613151606,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MAURITIUS,-0.24150855001171234,1.2511666666666668,-0.30216744748965413,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MEXICO,-0.17185234014502307,3.243625730994152,-0.5574246724259562,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MICRONESIA,0.20142977291841885,0.17457142857142857,0.035163883215186834,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MOLDOVA,-0.05150166852057842,0.5632475884244373,-0.029008190594050555,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MONACO,-0.19900497512437812,1.6160714285714286,-0.32160625444207536,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MONGOLIA,-0.3000771406531242,1.042744479495268,-0.3129037818387703,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MONTENEGRO,-0.3762183235867446,1.1928400954653937,-0.4487683010230428,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MOROCCO,-0.2298076923076923,0.9441025641025641,-0.2169620315581854,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MOZAMBIQUE,-0.2518348623853211,1.2724540901502503,-0.32044830068462726,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
MYANMAR,-0.1832823649337411,1.4851666666666667,-0.2722048589874278,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
NAMIBIA,-0.3049443437742687,1.1212328767123287,-0.3419136238071766,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
NAURU,0.13429438543247343,0.21761061946902654,0.02922388440517276,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
NEPAL,-0.21858864027538727,1.1057692307692308,-0.2417085926122071,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
NETHERLANDS,-0.1380400421496312,2.610044313146233,-0.36029062699911124,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
NEW ZEALAND,-0.12093726379440665,0.5052845528455284,-0.06110773125871848,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
NICARAGUA,-0.21987704918032788,1.4478333333333333,-0.31834532103825136,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
NIGER,-0.31303074670571013,1.0398916967509024,-0.32551807432700286,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
NIGERIA,-0.11412952060555089,2.0384545454545453,-0.23264784004893338,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
NORTH MACEDONIA,-0.2526756630991159,1.680089485458613,-0.42451772480410743,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
NORWAY,-0.16658653846153845,2.4022047244094487,-0.400174969715324,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
OMAN,-0.23677706376668314,2.808661417322835,-0.6650266035084715,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
PAKISTAN,-0.12769347496206374,3.4273611111111113,-0.43765165022761765,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
